6.687684071948751807e-05 -4.938208076320837718e-21 7.944394822658293760e+17 -5.107326228603881191e-10 3.726189062164264598e-12 3.775062561035156250e+02
4.094370888196863234e-05 5.911372334498836691e-21 8.269807658404413440e+17 8.174597804222472064e-11 1.800502281990024045e-11 2.001432657241821289e+00
1.656723543419502676e-05 4.822597771735635511e-22 1.111787331502735360e+18 4.125956520883988787e-10 7.442661070777845111e-11 1.233453845977783203e+01
4.460278432816267014e-04 -3.310050058939386970e-21 6.438008917023784960e+17 3.035748596946774569e-10 2.116615259797893778e-12 2.347964477539062500e+02
1.931499537022318691e-05 4.036644670920140773e-22 1.792372178553929728e+18 -1.401920107779730529e-10 2.877335869566621795e-11 3.683476448059082031e+00
2.024345485551748425e-05 1.509499402797180749e-21 1.448581418266394624e+18 1.038469744224501667e-11 1.351601773211252855e-12 4.302697479724884033e-01
1.413659483660012484e-04 7.760051129411312688e-21 1.057742967743184896e+18 2.163526302556562086e-10 6.279819112636753076e-12 4.019565582275390625e+01
1.088705830625258386e-04 -1.496003393725816909e-22 1.542917007668674560e+17 -9.172917286859316732e-11 3.821202035347859294e-12 1.187453937530517578e+01
4.817924054805189371e-04 9.117261048051547459e-22 4.124150742921510912e+18 1.416991350644547509e-11 5.979019362944981708e-12 1.810949444770812988e-01
4.350735689513385296e-04 9.819276066890160822e-22 3.933489929107013632e+18 -1.537305525933785333e-11 1.648657881221649024e-12 7.730216383934020996e-01
6.128037348389625549e-04 1.464848310461635522e-21 6.189169507009822720e+17 -6.309022748673953629e-11 6.019414133806577638e-11 3.565922081470489502e-01
1.605102443136274815e-04 1.626229309266170551e-22 1.459104569177931776e+18 -2.773432178360124567e-11 6.446333744580812208e-11 6.434638798236846924e-02
1.829777284001465887e-05 4.250302787716075659e-22 1.197301917072490496e+18 -2.709989732618822700e-10 1.126845578652835300e-11 3.514574432373046875e+01
7.924557576188817620e-05 6.646908766881804805e-21 1.589335949051953152e+18 -3.321002362000058383e-10 6.334022195630950591e-11 9.389892578125000000e+00
